Name,Pickup,Dropoff,Google Distance,bike,car,deviation_bike,deviation_car
Dhanmondi Road 1 To Baridhara DOHS,"23.73892674599274, 90.38323055613314","23.8125933316261, 90.41299491840999",13.1,11.6,11.6,-1.5,-1.5
Dhanmondi Road 1 To Abdullahpur,"23.73892674599274, 90.38323055613314","23.880087376148854, 90.40108172376549",20.8,19.22,19.22,-1.58,-1.58
Dhanmondi Road 1 To Ramna,"23.73892674599274, 90.38323055613314","23.733010605825754, 90.39838923841842",3.7,3.34,3.34,-0.36,-0.36
Dhanmondi Road 1 To Housebuilding ,"23.73892674599274, 90.38323055613314","23.87472562982738, 90.40055033910889",26.7,18.61,18.61,-8.09,-8.09
Dhanmondi Road 1 To Shyamoli,"23.73892674599274, 90.38323055613314","23.770944853769944, 90.3643630494088",5.4,5.24,5.24,-0.16,-0.16
Dhanmondi Road 1 To Pallabi,"23.73892674599274, 90.38323055613314","23.82643315131396, 90.3642554210073",12.8,11.76,11.76,-1.04,-1.04
Dhanmondi Road 1 To Kafrul,"23.73892674599274, 90.38323055613314","23.78978600718145, 90.39142758659793",10.1,8.49,8.49,-1.61,-1.61
Dhanmondi Road 1 To Azimpur,"23.73892674599274, 90.38323055613314","23.727412937869925, 90.38607767473717",3.4,2.78,2.78,-0.62,-0.62
Dhanmondi Road 1 To Rajlokkhi,"23.73892674599274, 90.38323055613314","23.864377863996197, 90.39974742376492",20.4,17.49,17.49,-2.91,-2.91
Dhanmondi Road 1 To Dhanmondi,"23.73892674599274, 90.38323055613314","23.747251484283616, 90.37349526264282",2.7,2.14,2.14,-0.56,-0.56
Dhanmondi Road 1 To Mohammadia Housing Society,"23.73892674599274, 90.38323055613314","23.76372750425014, 90.35571965482585",4.8,4.96,4.96,0.16,0.16
Dhanmondi Road 1 To Dhaka Cantonment,"23.73892674599274, 90.38323055613314","23.828588827218468, 90.38836748788904",18.8,13.23,13.17,-5.57,-5.63
Dhanmondi Road 1 To Khilgaon,"23.73892674599274, 90.38323055613314","23.74763244661704, 90.42879851841103",7.2,7.37,7.37,0.17,0.17
Dhanmondi Road 1 To Badda,"23.73892674599274, 90.38323055613314","23.780679309432028, 90.42591699265579",9.4,8.92,8.92,-0.48,-0.48
Dhanmondi Road 1 To Basabo,"23.73892674599274, 90.38323055613314","23.743101986295244, 90.4301973345579",7.4,7.61,7.61,0.21,0.21
Dhanmondi Road 1 To Rampura,"23.73892674599274, 90.38323055613314","23.761694273191036, 90.42082319633694",7.5,6.86,6.86,-0.64,-0.64
Dhanmondi Road 1 To Kamalapur,"23.73892674599274, 90.38323055613314","23.733822047994106, 90.4262837483779",6.8,6.91,6.91,0.11,0.11
Dhanmondi Road 1 To Airport ,"23.73892674599274, 90.38323055613314","23.843944683686694, 90.40309686088067",18.6,16.11,16.11,-2.49,-2.49
Dhanmondi Road 1 To Mirpur DOHS,"23.73892674599274, 90.38323055613314","23.836550426406184, 90.36930257291579",17.5,16.06,16.06,-1.44,-1.44
Dhanmondi Road 1 To Adabor,"23.73892674599274, 90.38323055613314","23.77334452925566, 90.35491227902814",6.9,6.03,6.03,-0.87,-0.87
Dhanmondi Road 1 To Lalmatia,"23.73892674599274, 90.38323055613314","23.7563717097249, 90.36813780715765",3.7,3.32,3.32,-0.38,-0.38
Dhanmondi Road 1 To Kalabagan,"23.73892674599274, 90.38323055613314","23.749675005293483, 90.38277511898877",3.3,2.4,2.4,-0.9,-0.9
Dhanmondi Road 1 To Mohakhali DOHS,"23.73892674599274, 90.38323055613314","23.78305224016706, 90.39525837210826",8.1,6.93,6.93,-1.17,-1.17
Dhanmondi Road 1 To Nikunja,"23.73892674599274, 90.38323055613314","23.83201349199618, 90.41755656787933",15.3,13.71,13.71,-1.59,-1.59
Dhanmondi Road 1 To Gulshan 1,"23.73892674599274, 90.38323055613314","23.780471476689158, 90.4167028225868",8.0,8.16,8.16,0.16,0.16
Mohakhali To Old Dhaka,"23.778030352558627, 90.39817508179783","23.722800923889817, 90.38755454198304",7.9,8.04,8.04,0.14,0.14
Mohakhali To Purana Paltan,"23.778030352558627, 90.39817508179783","23.732273701219974, 90.41057223329862",7.8,7.47,7.47,-0.33,-0.33
Mohakhali To Kotwali,"23.778030352558627, 90.39817508179783","23.71018267717421, 90.40675573653705",10.4,9.07,9.07,-1.33,-1.33
Mohakhali To Armanitola,"23.778030352558627, 90.39817508179783","23.714474789970428, 90.40166961414154",9.4,8.69,8.69,-0.71,-0.71
Mohakhali To Chawkbazar,"23.778030352558627, 90.39817508179783","23.71657179212861, 90.39603086053421",8.9,8.4,8.4,-0.5,-0.5
Mohakhali To Motijheel,"23.778030352558627, 90.39817508179783","23.73303447928996, 90.41716489453002",8.4,7.56,7.56,-0.84,-0.84
Mohakhali To Tejgaon,"23.778030352558627, 90.39817508179783","23.75971835986349, 90.39091349447644",3.0,3.02,3.02,0.02,0.02
Mohakhali To Dhanmondi,"23.778030352558627, 90.39817508179783","23.74619071709292, 90.37421746317516",6.4,6.6,6.6,0.2,0.2
Mohakhali To Uttara,"23.778030352558627, 90.39817508179783","23.87416897344832, 90.39108988158193",15.3,13.38,13.38,-1.92,-1.92
Mohakhali To Mirpur,"23.778030352558627, 90.39817508179783","23.821928567297416, 90.36536926358303",10.9,8.97,8.97,-1.93,-1.93
Mohakhali To Mohammadpur,"23.778030352558627, 90.39817508179783","23.765874377010654, 90.3583108475684",5.8,5.84,5.84,0.04,0.04
Mohakhali To Gulshan 2,"23.778030352558627, 90.39817508179783","23.79479345976617, 90.41426510375673",6.1,4.61,4.61,-1.49,-1.49
Mohakhali To Banani,"23.778030352558627, 90.39817508179783","23.79357718124646, 90.40647799545194",5.3,2.43,2.43,-2.87,-2.87
Mohakhali To Baridhara,"23.778030352558627, 90.39817508179783","23.799984097716813, 90.42072145456558",7.3,5.74,5.74,-1.56,-1.56
