estimated_pickup_latitude,estimated_pickup_longitude,pickup_hex,estimated_dropoff_latitude,estimated_dropoff_longitude,dropoff_hex
27.71453,85.2052,893c066ce97ffff,27.712668,85.2057489,893c066ce97ffff
27.72711234,85.33330668,893c02991a7ffff,27.7270242,85.3332926,893c02991a7ffff
27.7021083,85.312553,893c029938bffff,27.7031428,85.3130288,893c029938bffff
27.68395116,84.43294343,893c0659a87ffff,27.68395116,84.43294343,893c0659a87ffff
27.69033986,85.30589417,893c029922fffff,27.69033986,85.30589417,893c029922fffff
27.760128,85.31110369,893c029868fffff,27.75984857,85.31033623,893c029868fffff
27.711472,85.366907,893c0299803ffff,27.71325693,85.36671594,893c0299803ffff
27.69412646,85.31980444,893c0299373ffff,27.69449815,85.32038775,893c0299373ffff
27.71310562,85.31833459,893c0299143ffff,27.71273341,85.31833459,893c0299143ffff
23.73369389,90.38719531,893cf17648bffff,23.73369389,90.38719531,893cf17648bffff
27.70904362,85.37800368,893c0299b93ffff,27.70693925,85.37870333,893c0299b93ffff
27.7092132,85.2926234,893c02990cfffff,27.7111047,85.2928639,893c02990cfffff
27.73491079,85.30920234,893c0299507ffff,27.73522268,85.30886941,893c0299507ffff
27.69009018,85.28578665,893c02992c3ffff,27.6893091,85.2848268,893c02992c3ffff
27.74167276,85.34607936,893c0298353ffff,27.74234724,85.34753765,893c0298353ffff
23.78709508,90.39964311,893cf10cd2fffff,23.78775254,90.39968301,893cf10cd2fffff
23.75413472,90.41487403,893cf139653ffff,23.75413472,90.41487403,893cf139653ffff
23.95469934,90.31078689,893cf1062c3ffff,23.95470271,90.31074867,893cf1062c3ffff
24.7415116,90.4092469,893ce20907bffff,24.7415116,90.4092469,893ce20907bffff
27.69991,85.26678,893c02996cbffff,27.69991,85.26678,893c02996cbffff
27.62211104,85.31669932,893c02d4113ffff,27.62231293,85.31717822,893c02d4113ffff
27.67857634,85.38388677,893c028b407ffff,27.6788026,85.3831489,893c028b407ffff
27.7050296,85.3291865,893c0299edbffff,27.70495872,85.32913402,893c0299edbffff
27.6894222,85.30804329,893c029922fffff,27.6897069,85.3073238,893c029922fffff
27.68942695,85.30804966,893c029922fffff,27.6897069,85.3073238,893c029922fffff
27.74294768,85.3341986,893c0298207ffff,27.7411,85.3338,893c0298207ffff
23.87872682,90.3986346,893cf1059dbffff,23.87872682,90.3986346,893cf1059dbffff
23.87183017,90.39924782,893cf105827ffff,23.8719154,90.39930582,893cf105827ffff
23.80313331,90.41603958,893cf13b2a3ffff,23.80317048,90.41608917,893cf13b2a3ffff
23.75560678,90.38479775,893cf10cbd3ffff,23.75557105,90.38475714,893cf10cbd3ffff
27.7136656,85.29459471,893c02990c7ffff,27.71427833,85.29502016,893c02990c7ffff
27.74662877,85.2990314,893c029b323ffff,27.74707118,85.29874407,893c029b323ffff
27.69489446,85.30691106,893c02993cbffff,27.69490188,85.30710015,893c02993cbffff
27.71993484,85.31558499,893c02991c3ffff,27.71975811,85.31588543,893c02991c3ffff
23.7484183,90.3518483,893cf10ddb3ffff,23.7481309,90.35184335,893cf10ddb3ffff
27.74956303,85.3248889,893c0298293ffff,27.74957902,85.32495929,893c0298293ffff
27.63552963,85.32861516,893c02d6a63ffff,27.63552963,85.32861516,893c02d6a63ffff
23.74746038,90.38726941,893cf10ca27ffff,23.74769,90.38628,893cf10ca27ffff
23.8718409,90.39923575,893cf105827ffff,23.8719154,90.39930582,893cf105827ffff
23.87011353,90.39791845,893cf10582fffff,23.8701028,90.39802942,893cf10582fffff
